[slumbot] Building 169-bucket preflop abstraction...
[slumbot] Abstraction built in 278.68s
[slumbot] Training NL MCCFR for 1 iterations (169 buckets)...
  [Resume] Loading checkpoint from checkpoint_60M_total.dat ...
  [Resume] Loaded P0=179615196 P1=217724256 info sets. Continuing training.
[slumbot] Training complete in 269.00s. P0: 179615196, P1: 217724256 info sets
[slumbot] Starting session: LIVE (slumbot.com), 25000 hands
[slumbot] Hand 1090/25000: won=-50 total=-119238 (-1093.93 mbb/hand)
[slumbot] Hand 1100/25000: won=-100 total=-134238 (-1220.35 mbb/hand)
[slumbot] Hand 1110/25000: won=100 total=-133938 (-1206.65 mbb/hand)
[slumbot] Hand 1120/25000: won=-50 total=-132863 (-1186.28 mbb/hand)
[slumbot] Hand 1130/25000: won=-50 total=-133013 (-1177.11 mbb/hand)
[slumbot] Hand 1140/25000: won=400 total=-153863 (-1349.68 mbb/hand)
[slumbot] Hand 1150/25000: won=275 total=-153588 (-1335.55 mbb/hand)
[slumbot] Hand 1160/25000: won=100 total=-154488 (-1331.79 mbb/hand)
[slumbot] Hand 1170/25000: won=100 total=-153438 (-1311.44 mbb/hand)
[slumbot] Hand 1180/25000: won=-50 total=-153938 (-1304.56 mbb/hand)
[slumbot] Hand 1190/25000: won=-50 total=-153363 (-1288.76 mbb/hand)
[slumbot] Hand 1200/25000: won=-100 total=-152863 (-1273.86 mbb/hand)
[slumbot] Hand 1210/25000: won=200 total=-151513 (-1252.17 mbb/hand)
[slumbot] Hand 1220/25000: won=100 total=-151213 (-1239.45 mbb/hand)
[slumbot] Hand 1230/25000: won=-50 total=-151913 (-1235.07 mbb/hand)
[slumbot] Hand 1240/25000: won=100 total=-151563 (-1222.28 mbb/hand)
[slumbot] Hand 1250/25000: won=-50 total=-151113 (-1208.90 mbb/hand)
[slumbot] Hand 1260/25000: won=275 total=-150113 (-1191.37 mbb/hand)
[slumbot] Hand 1270/25000: won=100 total=-149538 (-1177.46 mbb/hand)
[slumbot] Hand 1280/25000: won=-50 total=-152288 (-1189.75 mbb/hand)
[slumbot] Hand 1290/25000: won=-50 total=-151988 (-1178.20 mbb/hand)
[slumbot] Hand 1300/25000: won=300 total=-152838 (-1175.68 mbb/hand)
[slumbot] Hand 1310/25000: won=-50 total=-152988 (-1167.85 mbb/hand)
[slumbot] Hand 1320/25000: won=-100 total=-152513 (-1155.40 mbb/hand)
[slumbot] Hand 1330/25000: won=-50 total=-151738 (-1140.89 mbb/hand)
[slumbot] Hand 1340/25000: won=100 total=-151463 (-1130.32 mbb/hand)
[slumbot] Hand 1350/25000: won=-50 total=-151463 (-1121.95 mbb/hand)
[slumbot] Hand 1360/25000: won=-50 total=-151163 (-1111.49 mbb/hand)
[slumbot] Hand 1370/25000: won=-50 total=-151363 (-1104.84 mbb/hand)
[slumbot] Hand 1380/25000: won=-50 total=-148926 (-1079.17 mbb/hand)
[slumbot] Hand 1390/25000: won=100 total=-149576 (-1076.09 mbb/hand)
[slumbot] Hand 1400/25000: won=-50 total=-148326 (-1059.47 mbb/hand)
[slumbot] Hand 1410/25000: won=750 total=-148026 (-1049.83 mbb/hand)
[slumbot] Hand 1420/25000: won=-50 total=-147551 (-1039.09 mbb/hand)
[slumbot] Hand 1430/25000: won=275 total=-146876 (-1027.10 mbb/hand)
[slumbot] Hand 1440/25000: won=-50 total=-146726 (-1018.93 mbb/hand)
[slumbot] Hand 1450/25000: won=100 total=-145226 (-1001.56 mbb/hand)
[slumbot] Hand 1460/25000: won=100 total=-143776 (-984.77 mbb/hand)
[slumbot] Hand 1470/25000: won=-50 total=-141876 (-965.14 mbb/hand)
[slumbot] Hand 1480/25000: won=-20000 total=-161976 (-1094.43 mbb/hand)
[slumbot] Hand 1490/25000: won=-50 total=-162276 (-1089.10 mbb/hand)
[slumbot] Hand 1500/25000: won=-50 total=-182776 (-1218.51 mbb/hand)
[slumbot] Hand 1510/25000: won=275 total=-181576 (-1202.49 mbb/hand)
[slumbot] Hand 1520/25000: won=300 total=-161651 (-1063.49 mbb/hand)
[slumbot] Hand 1530/25000: won=100 total=-161451 (-1055.24 mbb/hand)
[slumbot] Hand 1540/25000: won=-50 total=-182601 (-1185.72 mbb/hand)
[slumbot] Hand 1550/25000: won=-50 total=-181551 (-1171.30 mbb/hand)
[slumbot] Hand 1560/25000: won=-50 total=-161201 (-1033.34 mbb/hand)
[slumbot] Hand 1570/25000: won=-50 total=-160301 (-1021.03 mbb/hand)
[slumbot] Hand 1580/25000: won=-50 total=-161751 (-1023.74 mbb/hand)
[slumbot] Hand 1590/25000: won=-50 total=-174001 (-1094.35 mbb/hand)
[slumbot] Hand 1600/25000: won=100 total=-174626 (-1091.41 mbb/hand)
[slumbot] Hand 1610/25000: won=-50 total=-175276 (-1088.67 mbb/hand)
[slumbot] Hand 1620/25000: won=-50 total=-175276 (-1081.95 mbb/hand)
[slumbot] Hand 1630/25000: won=-50 total=-174951 (-1073.32 mbb/hand)
[slumbot] Hand 1640/25000: won=-50 total=-173876 (-1060.22 mbb/hand)
[slumbot] Hand 1650/25000: won=100 total=-172576 (-1045.92 mbb/hand)
[slumbot] Hand 1660/25000: won=-50 total=-171826 (-1035.10 mbb/hand)
[slumbot] Hand 1670/25000: won=825 total=-171401 (-1026.35 mbb/hand)
[slumbot] Hand 1680/25000: won=-50 total=-169276 (-1007.60 mbb/hand)
[slumbot] Hand 1690/25000: won=-50 total=-189176 (-1119.38 mbb/hand)
[slumbot] Hand 1700/25000: won=-50 total=-189776 (-1116.33 mbb/hand)
[slumbot] Hand 1710/25000: won=-50 total=-189951 (-1110.82 mbb/hand)
[slumbot] Hand 1720/25000: won=-50 total=-189001 (-1098.84 mbb/hand)
[slumbot] Hand 1730/25000: won=-50 total=-190551 (-1101.45 mbb/hand)
[slumbot] Hand 1740/25000: won=-100 total=-211301 (-1214.37 mbb/hand)
[slumbot] Hand 1750/25000: won=200 total=-208476 (-1191.29 mbb/hand)
[slumbot] Hand 1760/25000: won=-50 total=-206426 (-1172.88 mbb/hand)
[slumbot] Hand 1770/25000: won=-50 total=-211526 (-1195.06 mbb/hand)
[slumbot] Hand 1780/25000: won=-100 total=-211701 (-1189.33 mbb/hand)
[slumbot] Hand 1790/25000: won=300 total=-210751 (-1177.38 mbb/hand)
[slumbot] Hand 1800/25000: won=-50 total=-211101 (-1172.78 mbb/hand)
[slumbot] Hand 1810/25000: won=-50 total=-227501 (-1256.91 mbb/hand)
[slumbot] Hand 1820/25000: won=100 total=-223526 (-1228.16 mbb/hand)
[slumbot] Hand 1830/25000: won=275 total=-213264 (-1165.38 mbb/hand)
[slumbot] Hand 1840/25000: won=-50 total=-213589 (-1160.81 mbb/hand)
[slumbot] Hand 1850/25000: won=-50 total=-233989 (-1264.81 mbb/hand)
